# {"t_start": 1587789559.7062473, "env_id": "DartHopperPT-v1"} 
r,l,t
-3.139037,3,3.133854
-3.773754,3,3.133992
-4.403785,7,3.136147
-3.042719,2,3.136157
-3.252148,8,3.13815
-4.99948,6,3.140125
-3.66769,8,3.140412
-2.111637,4,3.144471
-4.021006,9,3.146512
-7.378312,6,3.146663
-5.701757,7,3.148791
-0.049175,7,3.150887
-4.601317,5,3.150892
-4.16326,4,3.153038
-9.366305,9,3.157054
-2.983718,3,3.15714
-4.947311,5,3.157189
-4.719358,5,3.157269
-2.513992,4,3.159404
-0.097297,10,3.161544
-8.092315,7,3.16371
-4.313081,3,3.165662
-5.648489,6,3.169778
-3.017826,5,3.171711
-0.758291,7,3.17189
-5.426566,5,3.174072
-3.250017,8,3.174094
-9.405931,9,3.176167
3.026954,12,3.178266
-3.761321,4,3.180134
-1.607439,4,3.180355
0.743836,7,3.18044
-2.999907,5,3.180546
-2.853483,3,3.186498
-1.905504,4,3.186726
-2.42415,4,3.188865
-4.02181,3,3.192959
3.084701,9,3.192979
-5.029699,8,3.193109
-0.73928,4,3.19731
-4.73378,10,3.20112
-8.427323,13,3.201195
-3.551152,7,3.20127
-3.21111,3,3.207032
-4.808635,5,3.207059
-4.772489,7,3.207069
-0.709533,7,3.207259
-1.574291,8,3.209383
0.644996,14,3.209446
-1.876361,4,3.215384
-4.328628,4,3.215792
-2.393163,5,3.217787
-2.059346,3,3.221827
-7.283046,10,3.222003
-0.445776,11,3.224109
-1.395023,5,3.227827
0.409799,9,3.228135
-1.481402,11,3.232355
-2.984046,3,3.234217
3.195094,9,3.234435
-5.877915,7,3.236675
-2.847342,3,3.238791
-8.258081,16,3.240712
-3.594014,6,3.240888
-1.048941,9,3.240915
-1.019469,4,3.242988
-5.588957,5,3.244853
-3.757512,10,3.24507
-5.72745,4,3.247177
-5.561574,4,3.249398
-2.61336,7,3.251544
-3.16098,5,3.251759
-1.303598,6,3.255934
-3.078606,5,3.255937
-7.150244,6,3.257753
-9.069994,8,3.258108
-4.635575,5,3.2604
-3.28119,6,3.260405
-2.590012,6,3.264675
-1.471133,4,3.264743
-1.995505,5,3.266888
-2.817561,2,3.270992
0.01557,10,3.273097
-3.235035,7,3.274997
2.650683,8,3.277217
3.31819,10,3.279345
-0.964686,4,3.279559
-4.486451,5,3.283528
-3.052048,3,3.283561
-8.143584,13,3.285405
-7.806226,10,3.285488
-5.909076,8,3.291648
-8.617565,7,3.293555
-2.88318,5,3.293761
4.366423,14,3.293892
0.135046,6,3.296112
-6.617076,10,3.300159
-4.621323,4,3.302138
-0.315997,8,3.302233
-3.333946,4,3.302418
